chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw
Ag6 Ru2,0.28013635510807083,2.0,0.5623351446188083,106.16916499999999,5.0,10.25,1577.9475,17.25,5.0,1.9975
Al1 Co1 Ni6,0.6124571651920483,3.0,0.7356219397587946,54.75942162125,3.875,10.25,1633.6837500000001,-9.4375,4.0,1.86875
Al1 Co2 Ni1,0.6702032774535029,3.0,1.0397207708399179,50.885341842500004,3.75,10.25,1549.3675,-15.0,4.25,1.82
Al1 Co2 Si1,0.5642105943783831,3.0,1.0397207708399179,43.233231842500004,3.5,11.25,1539.1175,-33.25,4.25,1.8175
Al1 Co3,0.9891863509222605,2.0,0.5623351446188083,50.9452804425,3.75,10.0,1559.3675,-14.25,4.5,1.8125
Al1 Co4,1.2095969556570019,2.0,0.5004024235381879,52.542863234,3.8000000000000003,9.8,1601.094,-12.160000000000002,4.6000000000000005,1.826
Al1 Cr1 Co2,0.7513365160954357,3.0,1.0397207708399179,49.2110218425,3.75,9.25,1662.3675,-14.0,4.75,1.7575
Al1 Cr1 Cu2,0.6579529059710649,3.0,1.0397207708399179,51.5175746425,3.75,10.25,1457.2525,3.0,4.25,1.7675
Al1 Cr1 Fe2,0.2658941841607619,3.0,1.0397207708399179,47.6670246425,3.75,8.75,1683.8675,-8.5,5.25,1.7325000000000002
Al1 Cr1 Ni2,0.7722534516888835,3.0,1.0397207708399179,49.091144642500005,3.75,9.75,1642.3675,-17.0,4.25,1.7725
Al1 Cr1 Ru2,0.24947528276292608,3.0,1.0397207708399179,70.28042464250001,4.25,8.75,2081.8675000000003,-19.0,6.25,1.9175000000000002
Al1 Cr2 W1,0.215116318150595,3.0,1.0397207708399179,78.7037146425,4.25,7.75,2247.1175000000003,-5.0,5.25,1.8224999999999998
Al1 Cu1 Ni6,0.2742133007136892,3.0,0.7356219397587946,55.336059821250004,3.875,10.5,1582.405,-6.8125,3.875,1.8712499999999999
Al1 Fe1,0.6602980916076209,2.0,0.6931471805599453,41.413369285,3.5,10.5,1372.2350000000001,-11.0,4.5,1.7200000000000002
Al1 Fe1 Co2,1.2881966204438948,3.0,1.0397207708399179,50.1732818425,3.75,9.75,1570.1175,-12.75,4.75,1.8
Al1 Fe1 Rh2,0.9924619095477629,3.0,1.0397207708399179,72.1594356425,4.25,9.75,1804.6175,-21.25,5.25,2.0
Al1 Fe2,1.3808960135938855,2.0,0.6365141682948129,46.22397952333333,3.6666666666666665,9.666666666666666,1518.4899999999998,-9.777777777777777,5.0,1.7566666666666666
Al1 Fe2 B2,0.7713459215161222,3.0,1.054920167986144,32.058387714,3.0,11.000000000000002,1850.694,-20.160000000000004,4.2,1.87
Al1 Fe2 Mo1,0.20271255492717974,3.0,1.0397207708399179,58.65573464249999,4.0,8.75,1862.8675,-7.75,5.25,1.8575000000000002
Al1 Fe2 Ni1,1.048070099876642,3.0,1.0397207708399179,49.341344642500005,3.75,9.75,1570.8675,-12.0,4.75,1.795
Al1 Fe2 W1,0.22572983565201915,3.0,1.0397207708399179,80.6282346425,4.25,8.75,2062.6175000000003,-6.0,5.25,1.9075000000000002
Al1 Fe3,1.7425361595264373,2.0,0.5623351446188083,48.6292846425,3.75,9.25,1591.6175,-8.25,5.25,1.7750000000000001
Al1 Fe3 B1,0.8452659632125407,3.0,0.9502705392332346,41.065427713999995,3.4,10.0,1743.0939999999998,-17.759999999999998,4.8,1.8280000000000003
Al1 Fe3 H1,1.6850409097684924,3.0,0.9502705392332346,39.105027713999995,3.2,7.6000000000000005,1276.0919999999999,-17.599999999999998,4.4,1.8600000000000003
Al1 Fe3 N1,0.46465868921258713,3.0,0.9502705392332346,41.704827714,3.4,10.4,1285.924,-61.76,5.2,2.028
Al1 Fe4,1.7099711251812117,2.0,0.5004024235381879,50.072467714,3.8000000000000003,9.0,1635.4940000000001,-7.040000000000001,5.4,1.7860000000000003
Al1 Ga1 Ni6,0.24670193115603856,3.0,0.7356219397587946,56.10815982125,3.875,10.75,1450.548075,-13.8125,3.75,1.8599999999999999
Al1 Ni12 Pt3,0.42320613965952236,3.0,0.7029189307735104,82.284844910625,4.3125,10.1875,1737.1043750000001,-9.0,4.3125,1.9606249999999998
Al1 Ni3,0.24456627354751712,2.0,0.5623351446188083,50.7654646425,3.75,10.75,1529.3675,-16.5,3.75,1.835
Al1 Ni6 Pd1,0.23625617128735457,3.0,0.7356219397587946,60.695397321250006,4.0,10.375,1641.19,-11.125,3.875,1.90875
Al1 V1 Co2,0.49831471531507004,3.0,1.0397207708399179,48.9473593425,3.75,9.0,1663.1175,-20.5,4.5,1.75
Al1 V1 Cr2,0.206325856723304,3.0,1.0397207708399179,45.4788421425,3.75,7.5,1869.1175,-10.0,5.0,1.64
Al1 V1 Fe1 Co1,0.24373497486040313,4.0,1.3862943611198906,48.1753607425,3.75,8.75,1673.8675,-17.0,4.75,1.7375
Al1 V1 Fe2,0.8515770735347631,3.0,1.0397207708399179,47.4033621425,3.75,8.5,1684.6175,-13.0,5.0,1.725
Al1 V12 Ge3,0.2217546592222761,3.0,0.7029189307735104,53.510753660625,3.9375,7.1875,1922.729375,-21.3984375,4.6875,1.7
Al1 V12 Si3,0.24226852846876798,3.0,0.7029189307735104,45.158416160625,3.75,7.1875,2011.904375,-30.890625,4.6875,1.6793749999999998
Al1 V12 Sn3,0.18289756508418695,3.0,0.7029189307735104,62.150734910625005,4.125,7.1875,1790.294375,-3.375,4.6875,1.6906249999999998
Al1 V2 Fe1,0.3519631445622913,3.0,1.0397207708399179,46.177439642500005,3.75,7.75,1777.6175,-14.25,4.75,1.675
Al1 V2 W1,0.20170744456033657,3.0,1.0397207708399179,78.1763896425,4.25,7.25,2248.6175000000003,-9.0,4.75,1.8075
Al1 V6 Ga1,0.3566622018335202,3.0,0.7356219397587946,50.29421232125,3.875,7.0,1791.798075,-8.9375,4.5,1.65
Al1 V6 Ge1,0.29986379446730665,3.0,0.7356219397587946,50.65767482125,3.875,7.125,1905.3587499999999,-18.71875,4.625,1.6749999999999998
Al1 V6 Sn1,0.2523834796774558,3.0,0.7356219397587946,56.41766232125,4.0,7.125,1817.06875,-6.125,4.625,1.66875
Al11 Cr4,0.26046522241813413,2.0,0.5799151714181009,33.65210428466667,3.2666666666666666,11.133333333333333,1265.8780000000002,-7.822222222222221,3.8,1.6233333333333333
Al12 Fe7,0.5869371900626875,2.0,0.6581099875431143,37.6155190968421,3.3684210526315788,11.157894736842104,1256.7705263157895,-10.238227146814403,4.105263157894736,1.6910526315789474
Al16 Cr10,0.20822385651032654,2.0,0.666278442414676,36.6025468123077,3.384615384615385,10.307692307692308,1412.9046153846155,-9.467455621301776,4.153846153846154,1.6292307692307693
Al16 Cr16 N32,0.6389825580056063,3.0,1.0397207708399179,26.7479246425,2.75,12.25,809.9425000000001,-102.0,4.75,2.3375
Al16 Fe10,0.5686920582600055,2.0,0.666278442414676,38.082946812307696,3.384615384615385,11.076923076923077,1270.9815384615385,-10.414201183431953,4.153846153846154,1.6946153846153849
Al16 Fe16 N32,0.43356316371080955,3.0,1.0397207708399179,27.7101846425,2.75,12.75,717.6925000000001,-92.25,4.75,2.38
Al2 Co1 Ni1,0.19946758003062373,3.0,1.0397207708399179,42.897427885,3.5,11.25,1340.7350000000001,-20.5,3.75,1.7525
Al2 Co6,0.9460908273209878,2.0,0.5623351446188083,50.9452804425,3.75,10.0,1559.3675,-14.25,4.5,1.8125
Al2 Cr1 Fe1 Co4,1.008453763006756,4.0,1.2130075659799042,49.692151842499996,3.75,9.5,1616.2425,-13.4375,4.75,1.77875
Al2 Cr2 N4,0.7733187011600614,3.0,1.0397207708399179,26.7479246425,2.75,12.25,809.9425000000001,-102.0,4.75,2.3375
Al2 Cr2 Ni2,0.2741628202546603,3.0,1.0986122886681098,45.89037952333333,3.666666666666666,9.666666666666666,1613.8233333333333,-17.333333333333332,4.333333333333333,1.7266666666666666
Al2 Fe2 N4,0.3264243368343459,3.0,1.0397207708399179,27.7101846425,2.75,12.75,717.6925000000001,-92.25,4.75,2.38
Al2 Fe4,1.0768585933020862,2.0,0.6365141682948129,46.22397952333333,3.6666666666666665,9.666666666666666,1518.4899999999998,-9.777777777777777,5.0,1.7566666666666666
Al2 Ni6,0.24594726403818065,2.0,0.5623351446188083,50.7654646425,3.75,10.75,1529.3675,-16.5,3.75,1.835
Al2 Ni9 Pd1,0.19730600497561987,3.0,0.7214636866925115,57.38541976166667,3.9166666666666665,10.5,1603.9158333333332,-13.555555555555555,3.833333333333333,1.8841666666666665
Al2 V18 Au4,0.23398243192438012,3.0,0.7214636866925116,73.28235563083332,4.25,6.666666666666666,1937.9275,-14.722222222222221,4.833333333333333,1.7799999999999998
Al2 V6,0.40796110198348207,2.0,0.5623351446188083,44.9515171425,3.75,7.0,1870.6175,-12.0,4.5,1.625
Al3 Co20 B6,0.7187549572366455,3.0,0.8169151695570781,45.67132771413793,3.4827586206896552,10.241379310344827,1801.8762068965518,-19.120095124851368,4.379310344827586,1.8851724137931034
Al3 Cr1,0.4201758120082001,2.0,0.5623351446188083,33.235193927500006,3.25,11.25,1245.1025,-7.5,3.75,1.6225
Al3 Zn1 Ni12,0.2192466736450168,3.0,0.7029189307735104,53.165493481875004,3.8125,10.6875,1514.318125,-14.015625,3.6875,1.8375
