,chemical formula,production info,compound space group,unit cell volume,lattice parameters,lattice angles,atomic positions,crystal info,unit cell spin polarization,atomic spin specie,saturation magnetization,magnetization temperature,magnetization info,magnetocrystalline anisotropy energy,anisotropy energy type,magnetocrystalline anisotropy constants,kind of anisotropy,anisotropy info,exchange integrals,exchange info,magnetic order,curie temperature,curie temperature info,anisotropy field,remanence,coercivity,energy product,hysteresis info,domain wall width,domain wall info,exchange stiffness,exchange stiffness info
0,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",164,74.146378,"[4.09981, 4.09981, 5.09372]","[90.0, 90.0, 120.0]","['Co1(1a)', 0.0, 0.0, 0.0, 'Fe1(2d)', 0.33333, 0.6666700000000001, 0.8354400000000001, 'Fe2(2d)', 0.33333, 0.6666700000000001, 0.31843000000000005, 'Ta1(1b)', 0.0, 0.0, 0.5]","software VASP, k-points mesh 11x11x8, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",9.832,"['1 Co', 1.367, '2 Fe', 2.653, '3 Fe', 2.653, '4 Fe', 1.798, '5 Fe', 1.798, '6 Ta', -0.437]",1.545,0.0,"software VASP, k-points mesh 11x11x8, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
1,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",123,74.827882,"[2.95373, 2.95373, 8.57675]","[90.0, 90.0, 90.0]","['Co1(1a)', 0.0, 0.0, 0.0, 'Fe1(2g)', 0.0, 0.0, 0.68035, 'Fe2(2h)', 0.5, 0.5, 0.15960000000000002, 'Ta1(1d)', 0.5, 0.5, 0.5]","software VASP, k-points mesh 14x14x5, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",10.193,"['1 Co', 1.683, '2 Fe', 1.663, '3 Fe', 1.663, '4 Fe', 2.767, '5 Fe', 2.767, '6 Ta', -0.352]",1.587,0.0,"software VASP, k-points mesh 14x14x5, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
2,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",160,73.69362,"[4.68932, 4.68932, 11.60909]","[90.0, 90.0, 120.0]","['Co1(3a)', 0.0, 0.0, -0.00012000000000000002, 'Fe1(9b)', 0.83418, 0.16582000000000002, 0.1663, 'Fe2(3a)', 0.0, 0.0, 0.37677000000000005, 'Ta1(3a)', 0.0, 0.0, 0.6256900000000001]","software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",8.905,"['1 Co', 1.091, '2 Fe', 1.859, '3 Fe', 1.859, '4 Fe', 1.859, '5 Fe', 2.677, '6 Ta', -0.44]",1.408,0.0,"software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
3,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",216,73.029296,"[6.6351700000000005, 6.6351700000000005, 6.6351700000000005]","[90.0, 90.0, 90.0]","['Co1(4a)', 0.0, 0.0, 0.0, 'Fe1(16e)', 0.37483000000000005, 0.37483000000000005, 0.37483000000000005, 'Ta1(4d)', 0.7500000000000001, 0.7500000000000001, 0.7500000000000001]","software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",8.097,"['1 Co', 1.6219999999999999, '2 Fe', 1.819, '3 Fe', 1.495, '4 Fe', 1.778, '5 Fe', 1.798, '6 Ta', -0.41500000000000004]",1.291,0.0,"software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
4,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",160,73.703558,"[4.6893, 4.6893, 11.61081]","[90.0, 90.0, 120.0]","['Co1(3a)', 0.0, 0.0, -0.00028000000000000003, 'Fe1(9b)', 0.8341600000000001, 0.16584000000000002, 0.16619, 'Fe2(3a)', 0.0, 0.0, 0.37679, 'Ta1(3a)', 0.0, 0.0, 0.6255700000000001]","software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",8.905,"['1 Co', 1.091, '2 Fe', 1.873, '3 Fe', 1.754, '4 Fe', 1.951, '5 Fe', 2.677, '6 Ta', -0.44]",1.407,0.0,"software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
5,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",156,74.00743,"[4.10913, 4.10913, 5.06118]","[90.0, 90.0, 120.0]","['Co1(1a)', 0.0, 0.0, 0.00027, 'Fe1(1a)', 0.0, 0.0, 0.51925, 'Fe2(1c)', 0.6666700000000001, 0.33333, 0.36544000000000004, 'Fe3(1c)', 0.6666700000000001, 0.33333, 0.84608, 'Fe4(1b)', 0.33333, 0.6666700000000001, 0.68408, 'Ta1(1b)', 0.33333, 0.6666700000000001, 0.18393]","software VASP, k-points mesh 11x11x8, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",9.714,"['1 Co', 1.324, '2 Fe', 2.601, '3 Fe', 1.8010000000000002, '4 Fe', 2.591, '5 Fe', 1.828, '6 Ta', -0.43]",1.529,0.0,"software VASP, k-points mesh 11x11x8, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
6,Co1Fe4Ta1,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",216,73.022372,"[6.63497, 6.63497, 6.63497]","[90.0, 90.0, 90.0]","['Co1(4a)', 0.0, 0.0, 0.0, 'Fe1(16e)', 0.62517, 0.62517, 0.62517, 'Ta1(4c)', 0.25, 0.25, 0.25]","software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",8.096,"['1 Co', 1.6219999999999999, '2 Fe', 1.819, '3 Fe', 1.494, '4 Fe', 1.778, '5 Fe', 1.798, '6 Ta', -0.41400000000000003]",1.291,0.0,"software VASP, k-points mesh 10x10x10, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
7,Co4Fe16Ta4,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",9,296.203126,"[4.74227, 8.167300000000001, 7.64761]","[90.0, 90.07124, 90.0]","['Co1(4a)', 0.0030800000000000003, 0.41446000000000005, 0.50046, 'Fe1(4a)', 0.25544, 0.49995000000000006, 0.25237000000000004, 'Fe2(4a)', 0.01493, 0.08534000000000001, 0.00071, 'Fe3(4a)', 0.25929, 0.33066, 0.00055, 'Fe4(4a)', 0.7555900000000001, 0.33207000000000003, 0.80876, 'Ta1(4a)', 0.7570800000000001, 0.33333, 0.18479]","software VASP, k-points mesh 5x8x5, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",37.154,"['1 Co', 1.195, '2 Co', 1.195, '3 Co', 1.195, '4 Co', 1.195, '5 Fe', 1.933, '6 Fe', 1.933, '7 Fe', 1.933, '8 Fe', 1.933, '9 Fe', 1.9609999999999999, '10 Fe', 1.9609999999999999, '11 Fe', 1.9609999999999999, '12 Fe', 1.9609999999999999, '13 Fe', 1.915, '14 Fe', 1.915, '15 Fe', 1.915, '16 Fe', 1.915, '17 Fe', 2.7119999999999997, '18 Fe', 2.7119999999999997, '19 Fe', 2.7119999999999997, '20 Fe', 2.7119999999999997, '21 Ta', -0.427, '22 Ta', -0.427, '23 Ta', -0.427, '24 Ta', -0.427]",1.461,0.0,"software VASP, k-points mesh 5x8x5, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
8,Co2Fe8Ta2,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",15,149.342811,"[5.07329, 8.27561, 7.11424]","[90.0, 90.2306, 90.0]","['Co1(4e)', 0.0, 0.8782800000000001, 0.25, 'Fe1(8f)', 0.1688, 0.12094, 0.42089000000000004, 'Fe2(8f)', 0.17202, 0.37023, -0.08843000000000001, 'Ta1(4e)', 0.0, 0.37546, 0.25]","software VASP, k-points mesh 6x9x9, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",20.684,"['1 Co', 1.516, '2 Co', 1.516, '3 Fe', 2.401, '4 Fe', 2.455, '5 Fe', 2.401, '6 Fe', 2.455, '7 Fe', 2.201, '8 Fe', 2.245, '9 Fe', 2.201, '10 Fe', 2.245, '11 Ta', -0.47600000000000003, '12 Ta', -0.47600000000000003]",1.613,0.0,"software VASP, k-points mesh 6x9x9, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
9,Co2Fe8Ta2,"obtained by Adaptive Genetic Algorithm Structure Prediction Methods,  software USPEX+VASP",1,149.229713,"[4.85165, 4.85307, 7.12235]","[90.08786, 90.22155, 117.14169]","['Co1(1a)', 0.6654100000000001, 0.67979, 0.66241, 'Co2(1a)', -0.00015000000000000001, -0.0006600000000000001, -0.00014000000000000001, 'Fe1(1a)', 0.8328300000000001, 0.82776, 0.32859000000000005, 'Fe2(1a)', 0.24337000000000003, 0.7535900000000001, 0.50083, 'Fe3(1a)', 0.31933, 0.33396000000000003, 0.33922, 'Fe4(1a)', -0.07585, 0.42034000000000005, 0.16172, 'Fe5(1a)', 0.16975, 0.16509000000000001, 0.6715000000000001, 'Fe6(1a)', 0.41186000000000006, -0.07538, 0.17186, 'Fe7(1a)', 0.0742, 0.5861900000000001, 0.8289500000000001, 'Fe8(1a)', 0.57728, 0.0743, 0.83979, 'Ta1(1a)', 0.49754000000000004, 0.50188, 0.00092, 'Ta2(1a)', 0.7457100000000001, 0.25110000000000005, 0.50073]","software VASP, k-points mesh 9x9x6, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar,temperature=0K",20.597,"['1 Co', 1.516, '2 Co', 1.508, '3 Fe', 2.427, '4 Fe', 2.154, '5 Fe', 2.181, '6 Fe', 2.243, '7 Fe', 2.479, '8 Fe', 2.391, '9 Fe', 2.404, '10 Fe', 2.265, '11 Ta', -0.458, '12 Ta', -0.515]",1.608,0.0,"software VASP, k-points mesh 9x9x6, Ecut-off=410.533 eV, PAW_PBE, Co_pv:PAW_PBE:23Apr2009, Fe_pv:PAW_PBE:02Aug2007, Ta_pv:PAW_PBE:07Sep2000, Pressure=0.0 kbar",,,,,,,,,,,,,,,,,,,
